DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,FPKM
COLOR,#ff0000
DATA
96,2.10219
6,2.10219
49,3.0921749999999997
94,2.10219
42,2.10219
87,2.10219
55,2.10219
43,2.10219
37,2.10219
28,3.0921749999999997
40,2.10219
12,2.10219
72,2.10219
41,2.10219
9,2.10219
51,2.10219
104,2.10219
112,2.10219
22,2.10219
25,2.10219
100,2.10219
95,3.0921749999999997
31,4.4067
67,2.10219
78,1.94658
17,2.10219
2,2.10219
8,2.10219
57,2.10219
15,2.10219
119,10.89733
68,2.10219
62,2.10219
21,2.10219
45,2.10219
56,2.10219
70,2.10219
90,2.10219
88,2.10219
117,4.36337
92,2.10219
54,2.10219
53,2.10219
98,2.10219
77,2.10219
4,2.10219
113,3.89754
38,2.10219
69,2.10219
48,2.10219
47,2.10219
75,1.94658
18,2.10219
74,16.8046
79,2.10219
93,2.10219
27,2.10219
97,2.10219
29,2.10219
83,2.10219
82,2.10219
80,2.10219
63,3.89754
86,2.10219
19,2.10219
26,3.0921749999999997
