DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,FPKM
COLOR,#ff0000
DATA
40,0.572094
22,0.572094
26,0.572094
93,0.572094
8,0.572094
92,0.572094
38,0.572094
28,0.572094
42,0.572094
51,0.572094
87,0.572094
39,0.124518
49,0.572094
83,0.572094
9,0.572094
79,0.572094
19,0.572094
43,0.572094
12,0.572094
31,1.36997
114,4.0168099999999995
15,0.572094
86,0.572094
47,0.572094
95,0.572094
119,4.101617
112,0.572094
25,0.572094
97,0.572094
100,0.572094
115,2.08666
82,0.572094
88,0.572094
48,0.572094
118,246.6329
62,0.572094
29,0.572094
117,1.88285
68,0.572094
41,0.572094
74,1.43764
45,0.572094
53,0.572094
57,0.572094
4,0.572094
90,0.572094
56,0.572094
27,0.572094
98,0.572094
55,0.572094
70,0.572094
67,0.572094
104,0.572094
80,0.572094
96,0.572094
69,0.572094
116,4.36171
17,0.572094
120,4.84987
72,0.572094
18,0.572094
2,0.572094
6,0.572094
54,0.572094
77,0.572094
94,0.572094
21,0.572094
37,0.572094
