Query	Marker	Taxonomy	Confident_Taxonomy	Abundance	Likelihood	WTD
scaffold113323	nosZ	Bac22; Bac22	Bac22; Bac22	106.66	1.0	0.0
scaffold00046	nosZ	Bacteria; Bacteroidetes; Bacteroidetes Order II. Incertae sedis; Rhodothermaceae; Rhodothermus; DSM	Bacteria; Bacteroidetes; Bacteroidetes Order II. Incertae sedis; Rhodothermaceae; Rhodothermus; DSM	0.331198	0.999148	0.0
scaffold00180	nosZ	SHBH1141; SHBH1141	SHBH1141; SHBH1141	3.29923	1.0	0.0
scaffold00016	nosZ	ZA3312c; ZA3312c	ZA3312c; ZA3312c	2.38432	1.0	0.0
scaffold00666	nosZ	SUP05; SUP05	SUP05; SUP05	11.4379	1.0	0.0
scaffold109979	nosZ	Bac22; Bac22	Bac22; Bac22	145.315	1.0	0.0
scaffold00135	nosZ	EPSILON; EPSILON	EPSILON; EPSILON	0.231058	1.0	0.0
scaffold01399	nosZ	GAMMA; GAMMA	GAMMA; GAMMA	24.8253	1.0	0.0
scaffold00774	nosZ	SHBH1141; SHBH1141	SHBH1141; SHBH1141	17.9348	1.0	0.0
scaffold121567	nosZ	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Maribacter; sp.	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Maribacter	0.476664	0.998828	0.0
scaffold121219	nosZ	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales	Bacteria; Proteobacteria; Betaproteobacteria; Rhodocyclales	1.54916	0.699574	0.05208
scaffold100517	nosZ	Bac22; Bac22	Bac22; Bac22	80.5545	1.0	0.0
scaffold00440	nosZ	SHBH1141; SHBH1141	SHBH1141; SHBH1141	20.7291	1.0	0.0
scaffold02769	nosZ	ZA3312c; ZA3312c	ZA3312c; ZA3312c	1.02819	1.0	0.0
scaffold111520	nosZ	Bac22; Bac22	Bac22; Bac22	57.0709	1.0	0.0
scaffold111917	nosZ	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales	0	0.941593	0.09135
scaffold53328	nosZ	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Pseudovibrio; sp.	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Pseudovibrio	2.04134	0.554551	0.0
scaffold81258	nosZ	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Maribacter; sp.	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Maribacter	0	0.541724	0.0
scaffold73219	nosZ	ZA3312c; ZA3312c	ZA3312c; ZA3312c	0.176621	1.0	0.0
scaffold55821	nosZ	ZA3312c; ZA3312c	ZA3312c; ZA3312c	1.27704	1.0	0.0
